vol_spike_ratio,fvg_entry_level,max_wait_bars,sl_mode,enable_breakeven,be_trigger_r,rr_ratio,contract_type,total_trades,win_rate,profit_factor,max_drawdown_pct,net_profit,total_return_pct,be_trades,filtered_count,calmar_ratio
1.15,edge,3,swing_extreme,True,1.2,2.0,MTX,2,50.0,1.51,0.78,4030.0,0.4,0,25,0.51
1.15,edge,3,swing_extreme,False,0.8,2.0,MTX,2,50.0,1.51,0.78,4030.0,0.4,0,25,0.51
1.15,edge,3,swing_extreme,True,0.8,2.0,MTX,2,50.0,1.51,0.78,4030.0,0.4,0,25,0.51
1.15,edge,3,swing_extreme,True,1.0,2.0,MTX,2,50.0,1.51,0.78,4030.0,0.4,0,25,0.51
1.15,edge,3,swing_extreme,False,1.0,2.0,MTX,2,50.0,1.51,0.78,4030.0,0.4,0,25,0.51
1.15,edge,3,swing_extreme,False,1.2,2.0,MTX,2,50.0,1.51,0.78,4030.0,0.4,0,25,0.51
1.3,edge,3,swing_extreme,True,0.8,2.0,MTX,2,50.0,1.51,0.78,4030.0,0.4,0,28,0.51
1.3,edge,3,swing_extreme,True,1.0,2.0,MTX,2,50.0,1.51,0.78,4030.0,0.4,0,28,0.51
1.3,edge,3,swing_extreme,True,1.2,2.0,MTX,2,50.0,1.51,0.78,4030.0,0.4,0,28,0.51
1.3,edge,3,swing_extreme,False,0.8,2.0,MTX,2,50.0,1.51,0.78,4030.0,0.4,0,28,0.51
1.3,edge,3,swing_extreme,False,1.0,2.0,MTX,2,50.0,1.51,0.78,4030.0,0.4,0,28,0.51
1.3,edge,3,swing_extreme,False,1.2,2.0,MTX,2,50.0,1.51,0.78,4030.0,0.4,0,28,0.51
1.15,edge,3,bar_extreme,False,0.8,1.5,MTX,2,50.0,1.29,1.14,3276.0,0.33,0,25,0.29
1.15,edge,3,bar_extreme,False,0.8,2.0,MTX,2,50.0,1.29,1.14,3276.0,0.33,0,25,0.29
1.15,edge,3,bar_extreme,False,1.0,1.5,MTX,2,50.0,1.29,1.14,3276.0,0.33,0,25,0.29
1.15,edge,3,bar_extreme,False,1.0,2.0,MTX,2,50.0,1.29,1.14,3276.0,0.33,0,25,0.29
1.15,edge,3,bar_extreme,False,1.2,1.5,MTX,2,50.0,1.29,1.14,3276.0,0.33,0,25,0.29
1.15,edge,3,bar_extreme,False,1.2,2.0,MTX,2,50.0,1.29,1.14,3276.0,0.33,0,25,0.29
1.3,edge,3,bar_extreme,False,0.8,1.5,MTX,2,50.0,1.29,1.14,3276.0,0.33,0,28,0.29
1.3,edge,3,bar_extreme,False,0.8,2.0,MTX,2,50.0,1.29,1.14,3276.0,0.33,0,28,0.29
1.3,edge,3,bar_extreme,False,1.0,1.5,MTX,2,50.0,1.29,1.14,3276.0,0.33,0,28,0.29
1.3,edge,3,bar_extreme,False,1.0,2.0,MTX,2,50.0,1.29,1.14,3276.0,0.33,0,28,0.29
1.3,edge,3,bar_extreme,False,1.2,1.5,MTX,2,50.0,1.29,1.14,3276.0,0.33,0,28,0.29
1.3,edge,3,bar_extreme,False,1.2,2.0,MTX,2,50.0,1.29,1.14,3276.0,0.33,0,28,0.29
