name,hrs,fvg,sl,age,wick,tp_mode,r1,r2,trades,tot_pnl,pnl_24,pnl_25,pnl_26,wr,pf,mdd,all_pos
"基準: 現有預設 (黃金窗口 10/11/20, FVG 6, SL 25)","[10, 11, 20]",6.0,25.0,40,0.35,swing_target,1.5,3.0,208,19888.0,27136.0,7188.0,-14436.0,50.0,1.05,8.84,False
方案 A: 嚴格 FVG 8.0 + 緊密生命週期 20 根,"[10, 11, 20]",8.0,25.0,20,0.35,swing_target,1.5,3.0,169,-33755.0,20972.0,-26029.0,-28698.0,49.112426035502956,0.91,8.69,False
方案 B: 嚴格 FVG 10.0 + 緊密生命週期 20 根,"[10, 11, 20]",10.0,25.0,20,0.35,swing_target,1.5,3.0,147,-86128.0,11704.0,-19175.0,-78657.0,46.25850340136054,0.74,11.58,False
方案 C: 固定 RR (1.5R / 3.0R) + FVG 6.0,"[10, 11, 20]",6.0,25.0,40,0.35,fixed_rr,1.5,3.0,201,45837.0,23661.0,2861.0,19315.0,51.243781094527364,1.11,7.1,True
方案 D: 固定 RR (2.0R / 3.5R) + FVG 6.0,"[10, 11, 20]",6.0,25.0,40,0.35,fixed_rr,2.0,3.5,194,84763.0,34136.0,28812.0,21815.0,49.48453608247423,1.18,7.68,True
方案 E: 固定 RR (1.5R / 3.0R) + FVG 8.0 + SL 25,"[10, 11, 20]",8.0,25.0,24,0.35,fixed_rr,1.5,3.0,165,-4907.0,19047.0,-32557.0,8603.0,50.90909090909091,0.99,6.91,False
方案 F: 保底 SL 30 點 + FVG 6.0,"[10, 11, 20]",6.0,30.0,40,0.35,swing_target,1.5,3.0,208,4087.0,24436.0,-3513.0,-16836.0,49.519230769230774,1.01,9.08,False
方案 G: 保底 SL 20 點 + FVG 8.0 + 影線 0.40,"[10, 11, 20]",8.0,20.0,20,0.4,swing_target,1.5,3.0,166,-37416.0,20721.0,-16339.0,-41798.0,49.39759036144578,0.9,8.65,False
"方案 H: 擴充黃金時段 [10, 11, 14, 20] + FVG 6.0","[10, 11, 14, 20]",6.0,25.0,40,0.35,swing_target,1.5,3.0,208,19888.0,27136.0,7188.0,-14436.0,50.0,1.05,8.84,False
"方案 I: 擴充黃金時段 [10, 11, 14, 20] + FVG 8.0","[10, 11, 14, 20]",8.0,25.0,24,0.35,swing_target,1.5,3.0,169,-33755.0,20972.0,-26029.0,-28698.0,49.112426035502956,0.91,8.69,False
"方案 J: 擴充黃金時段 [10, 11, 14, 20] + 固定 RR (1.5R / 3.0R)","[10, 11, 14, 20]",6.0,25.0,30,0.35,fixed_rr,1.5,3.0,201,45837.0,23661.0,2861.0,19315.0,51.243781094527364,1.11,7.1,True
"方案 K: 日盤純趨勢 [10, 11] + FVG 6.0 + 快速移保本","[10, 11]",6.0,25.0,30,0.35,fixed_rr,1.5,3.0,112,44611.0,14645.0,12407.0,17559.0,55.35714285714286,1.17,6.49,True
"方案 L: 歐盤順勢 [19, 20, 21] + FVG 6.0","[19, 20, 21]",6.0,25.0,30,0.35,swing_target,1.5,3.0,204,-185981.0,-6974.0,-81341.0,-97666.0,35.78431372549019,0.58,21.52,False
"方案 M: 全時段回踩 [10, 11, 15, 20, 4] + FVG 8.0","[10, 11, 15, 20, 4]",8.0,25.0,24,0.35,swing_target,1.5,3.0,282,-188039.0,-8474.0,-34017.0,-145548.0,42.90780141843972,0.7,19.91,False
方案 N: 嚴選回踩 (FVG 10.0 + SL 25 + 固定 2.0R/4.0R),"[10, 11, 20]",10.0,25.0,20,0.35,fixed_rr,2.0,4.0,140,-37230.0,15304.0,-1527.0,-51007.0,47.14285714285714,0.9,10.15,False
